iter	Passed	Remaining
0	1	164
1	3	149
2	4	155
3	6	148
4	7	143
5	9	141
6	10	138
7	12	138
8	13	134
9	14	130
10	15	127
11	17	125
12	18	124
13	20	123
14	21	121
15	22	119
16	23	116
17	25	114
18	26	113
19	28	112
20	29	110
21	30	109
22	32	108
23	33	107
24	35	106
25	36	104
26	38	103
27	39	101
28	40	100
29	42	98
30	43	97
31	45	95
32	46	94
33	47	93
34	49	91
35	50	90
36	52	89
37	53	87
38	55	86
39	56	84
40	57	83
41	58	80
42	59	78
43	60	77
44	62	76
45	63	74
46	65	73
47	66	72
48	67	70
49	69	69
50	70	67
51	72	66
52	73	65
53	74	63
54	75	61
55	76	60
56	78	59
57	80	58
58	81	56
59	82	55
60	84	54
61	85	52
62	87	51
63	88	49
64	90	48
65	91	47
66	92	45
67	94	44
68	95	43
69	97	41
70	98	40
71	100	39
72	101	37
73	103	36
74	104	34
75	106	33
76	107	32
77	109	30
78	111	29
79	112	28
80	114	26
81	115	25
82	117	24
83	119	22
84	120	21
85	121	19
86	123	18
87	124	17
88	126	15
89	127	14
90	129	12
91	130	11
92	132	9
93	133	8
94	135	7
95	136	5
96	137	4
97	138	2
98	140	1
99	141	0
